,FIRM,K,KT,KINT,SALES,ASSETS,INV,INVT,INVINT,LINV,LINVT,LINVINT,INVSALES,INVTSALES,INVINTSALES,INVK,INVTK,INVINTK,INVA,INVTA,INVINTA,LC,SC,LCSALES,SCSALES,EMPL,CR,AGE,LEMPL,LWAGE,smallm,largem,high,low,fclowm,fchighm,treat,notreat,snotreat,snotreat2,snotreat3,score,s,s2,s3,ssmall,ssmall2,ssmall3,slarge,slarge2,slarge3,treatsmall,streatsmall,streatsmall2,streatsmall3,treatlarge,streatlarge,streatlarge2,streatlarge3,treath,streath,streath2,streath3,streath4,treatl,streatl,streatl2,streatl3,streatl4,treatsmallh,streatsmallh,streatsmallh2,streatsmallh3,treatlargeh,streatlargeh,streatlargeh2,streatlargeh3,treatsmalll,streatsmalll,streatsmalll2,streatsmalll3,treatlargel,streatlargel,streatlargel2,streatlargel3,fclow,fchigh,sfclow,sfclow2,sfclow3,sfchigh,sfchigh2,sfchigh3,treatfclow,streatfclow,streatfclow2,streatfclow3,treatfchigh,streatfchigh,streatfchigh2,streatfchigh3,streat,streat2,streat3
0,1.0,21237.0,19339.0,1898.0,80721.0,159591.0,9707.0,9318.0,389.0,11.640183,10.874702,11.685987,0.12025371,0.11543465,0.004819068,0.45707962,0.43876255,0.018317088,0.06082423,0.05838675,0.0024374807,83633.0,163064.0,1.0360749,2.020094,1676.0,0.325,1974.1232,7.4241652,3.9100282,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,85.0,10.0,100.0,1000.0,0.0,0.0,0.0,10.0,100.0,1000.0,0.0,0.0,0.0,0.0,1.0,10.0,100.0,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,100.0,1000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,100.0,1000.0,,,10.0,100.0,1000.0,0.0,0.0,0.0,1.0,10.0,100.0,1000.0,0.0,0.0,0.0,0.0,10.0,100.0,1000.0
1,2.0,1646.0,1487.0,159.0,3707.0,3381.0,373.0,75.0,298.0,11.554422,10.682354,11.685222,0.10062045,0.020231994,0.08038846,0.22660996,0.045565005,0.18104495,0.11032239,0.022182787,0.0881396,4971.0,2114.0,1.3409765,0.57027245,,0.4221843,,,,1.0,0.0,1.0,0.0,,,1.0,0.0,0.0,0.0,0.0,82.0,7.0,49.0,343.0,7.0,49.0,343.0,0.0,0.0,0.0,1.0,7.0,49.0,343.0,0.0,0.0,0.0,0.0,1.0,7.0,49.0,343.0,2401.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,49.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,7.0,49.0,343.0
2,3.0,6931.0,6728.0,203.0,25301.0,21127.0,1545.0,1216.0,329.0,11.565603,10.708199,11.685483,0.06106478,0.04806134,0.013003439,0.22291155,0.17544366,0.0474679,0.07312917,0.05755668,0.01557249,7698.0,14624.0,0.30425674,0.57800084,199.0,0.38272727,1967.1016,5.293305,3.655411,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,89.0,14.0,196.0,2744.0,0.0,0.0,0.0,14.0,196.0,2744.0,0.0,0.0,0.0,0.0,1.0,14.0,196.0,2744.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,196.0,2744.0,38416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,196.0,2744.0,,,14.0,196.0,2744.0,0.0,0.0,0.0,1.0,14.0,196.0,2744.0,0.0,0.0,0.0,0.0,14.0,196.0,2744.0
3,4.0,1131.0,1115.0,16.0,12143.0,10842.0,-114.0,-114.0,0.0,11.54974,10.678007,11.682711,-0.009388125,-0.009388125,0.0,-0.10079575,-0.10079575,0.0,-0.010514665,-0.010514665,0.0,7068.0,9605.0,0.58206373,0.7909907,189.0,,1966.102,5.241747,3.6215858,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-5.0,25.0,-125.0,70.0,-5.0,25.0,-125.0,0.0,0.0,0.0,-5.0,25.0,-125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-5.0,25.0,-125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5.0,1691.0,1649.0,42.0,5263.0,7688.0,235.0,219.0,16.0,11.553098,10.685653,11.682845,0.04465134,0.041611247,0.0030400911,0.13897102,0.12950917,0.009461856,0.030567117,0.028485952,0.0020811656,2908.0,3566.0,0.55253655,0.6775603,122.0,0.4038094,1969.112,4.804021,3.1711998,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,85.0,10.0,100.0,1000.0,10.0,100.0,1000.0,0.0,0.0,0.0,1.0,10.0,100.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,100.0,1000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,100.0,1000.0,0.0,0.0,0.0,0.0,,,10.0,100.0,1000.0,0.0,0.0,0.0,1.0,10.0,100.0,1000.0,0.0,0.0,0.0,0.0,10.0,100.0,1000.0
5,6.0,179.0,149.0,30.0,4977.0,3063.0,-42.0,-31.0,-11.0,11.550433,10.679918,11.682617,-0.008438818,-0.006228652,-0.0022101668,-0.23463687,-0.17318435,-0.061452515,-0.013712047,-0.010120797,-0.0035912504,3537.0,5755.0,0.7106691,1.156319,,0.3551178,1965.05,,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,84.0,9.0,81.0,729.0,9.0,81.0,729.0,0.0,0.0,0.0,1.0,9.0,81.0,729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,81.0,729.0,6561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,81.0,729.0,0.0,0.0,0.0,0.0,,,9.0,81.0,729.0,0.0,0.0,0.0,1.0,9.0,81.0,729.0,0.0,0.0,0.0,0.0,9.0,81.0,729.0
6,7.0,6899.0,6862.0,37.0,16583.0,23347.0,731.0,766.0,-35.0,11.557851,10.698085,11.682415,0.04408129,0.046191882,-0.002110595,0.10595738,0.111030586,-0.005073199,0.031310234,0.032809354,-0.0014991219,8697.0,12428.0,0.52445275,0.7494422,,0.43985558,1975.031,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,90.0,15.0,225.0,3375.0,0.0,0.0,0.0,15.0,225.0,3375.0,0.0,0.0,0.0,0.0,1.0,15.0,225.0,3375.0,1.0,15.0,225.0,3375.0,50625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,225.0,3375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,15.0,225.0,3375.0,0.0,0.0,0.0,1.0,15.0,225.0,3375.0,0.0,0.0,0.0,0.0,15.0,225.0,3375.0
7,8.0,3788.0,3788.0,0.0,12071.0,14032.0,987.0,677.0,310.0,11.560295,10.696073,11.685323,0.08176622,0.05608483,0.025681386,0.26055965,0.17872228,0.08183738,0.070339225,0.048246864,0.022092361,7935.0,9352.0,0.6573606,0.7747494,248.0,0.41283783,1960.0125,5.5134287,3.4656098,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.0,28133.0,26355.0,1778.0,116867.0,68656.0,-2864.0,-1425.0,-1439.0,11.522876,10.647327,11.670493,-0.02450649,-0.012193348,-0.012313142,-0.101802155,-0.050652258,-0.051149894,-0.04171522,-0.02075565,-0.020959567,36747.0,58642.0,0.31443435,0.5017841,945.0,0.52106833,1951.0128,6.851185,3.660627,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,83.0,8.0,64.0,512.0,0.0,0.0,0.0,8.0,64.0,512.0,0.0,0.0,0.0,0.0,1.0,8.0,64.0,512.0,1.0,8.0,64.0,512.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,64.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8.0,64.0,512.0,0.0,0.0,0.0,1.0,8.0,64.0,512.0,0.0,0.0,0.0,0.0,8.0,64.0,512.0
9,10.0,2070.0,1321.0,749.0,10718.0,11990.0,2770.0,3156.0,-386.0,11.577158,10.750664,11.679448,0.25844374,0.2944579,-0.03601418,1.3381642,1.5246377,-0.18647343,0.23102586,0.26321936,-0.032193493,5848.0,4764.0,0.5456242,0.4444859,134.0,0.39376053,1967.0804,4.89784,3.7760153,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,76.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
